UniqID,Lat,Lon,SiteName,LabCode,Age,Error,Material,Reference,LEVEL2,L2Desc,calcurve
200610,-27.5966,-50.7219,SC-CL-64,Beta-411918,920,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200612,-27.6368,-50.6111,SC-CL-52,Beta-411921,920,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200616,-27.703,-50.775,Valmor Baggio 1 (SC01720),Beta-414083,520,30,Charcoal,De Souza et al. 2016,21.4,Atlantic Forests,tropics
200619,-27.703,-50.775,Valmor Baggio 1 (SC01720),Beta-414086,860,30,Charcoal,De Souza et al. 2016,21.4,Atlantic Forests,tropics
200621,-27.703,-50.775,Valmor Baggio 1 (SC01720),Beta-414088,460,30,Charcoal,De Souza et al. 2016,21.4,Atlantic Forests,tropics
200622,-27.703,-50.775,Valmor Baggio 1 (SC01720),Beta-414089,630,30,Charcoal,De Souza et al. 2016,21.4,Atlantic Forests,tropics
200627,-27.703,-50.775,Valmor Baggio 1 (SC01720),Beta-414095,840,30,Charcoal,De Souza 2018,21.4,Atlantic Forests,tropics
200632,-29.1361,-51.7418,RS-03,Beta-422490,390,30,Charcoal,Schneider et al. 2017,21.4,Atlantic Forests,tropics
200633,-28.8858,-52.1026,RS-T-130,Beta-423195,840,30,Charcoal,Wolf et al. 2016,21.4,Atlantic Forests,tropics
200634,-27.6013,-50.7188,SC-CL-63,Beta-431942,670,30,Charcoal,Schmitz et al. 2016,21.4,Atlantic Forests,tropics
200653,-27.7186,-50.7957,Valdomiro 2,Beta-460412,120,30,Charcoal,Robinson et al. 2018,21.4,Atlantic Forests,tropics
200656,-27.6846,-50.8442,Edineia,Beta-460416,390,30,Charcoal,Robinson et al. 2018,21.4,Atlantic Forests,tropics
200663,-29.17,-52.2,RS-T-132,Beta-512707,100,30,Charcoal,Unpublished,21.4,Atlantic Forests,tropics
200664,-29.17,-52.2,RS-T-132,Beta-512708,390,30,Charcoal,Unpublished,21.4,Atlantic Forests,tropics
200666,-28.71,-49.3,Icara (SC-IÃ‡-01),Beta-72197,1470,60,Charcoal,Schmitz 1996,21.4,Atlantic Forests,tropics
200667,-22.8198,-42.961,Boca da Barra,Beta-83827,3760,190,charcoal,Gaspar 1991,21.4,Atlantic Forests,tropics
200668,-22.964,-42.0311,Ponta da Cabeca,Beta-84331,3270,70,charcoal,Tenorio et al 1992,21.4,Atlantic Forests,tropics
200672,-22.8299,-42.9226,Meio,Beta-84809,5180,80,shell,Tenorio 1998,21.4,Atlantic Forests,marine20
200676,-22.6936,-42.1163,IBV-II,Beta-94621,2060,60,charcoal,Gaspar 1998,21.4,Atlantic Forests,tropics
200677,-22.6936,-42.1163,IBV-II,Beta-94622,3670,80,charcoal,Gaspar 1998,21.4,Atlantic Forests,tropics
200678,-22.6862,-42.046,IBV-IV,Beta-94625,3740,110,charcoal,Gaspar 1998,21.4,Atlantic Forests,tropics
200679,-22.9798,-42.0288,Condominio do Atalaia,Beta-95559,4120,110,charcoal,Tenorio et al 2008,21.4,Atlantic Forests,tropics
200680,-22.6811,-42.0522,IBV-III,Beta-95596,2820,200,charcoal,Gaspar 1998,21.4,Atlantic Forests,tropics
200681,-22.9798,-42.0288,Condominio do Atalaia,Beta-95597,4190,130,charcoal,Tenorio et al 2008,21.4,Atlantic Forests,tropics
